id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
1,,Taylor Swift,100,57.58,85.93,100.93,232
2,,Drake,94,62.77,79.63,75.17,201
3,,Bad Bunny,94,57.82,74.06,75.63,190
4,,The Weeknd,94,47.46,71.36,107.28,186
5,,Ed Sheeran,87,44.50,114.97,76.19,166
6,,Ariana Grande,87,38.14,93.69,66.53,141
7,,Justin Bieber,87,38.10,74.19,72.71,136
8,,Eminem,88,37.45,76.47,63.86,134
9,,Billie Eilish,88,29.25,86.15,71.56,125
10,,Post Malone,89,35.18,42.05,63.67,113
11,,Rihanna,88,26.20,57.79,76.05,109
12,,BTS,87,35.43,69.43,33.21,106
13,,Coldplay,86,27.60,47.16,65.72,99
14,,Dua Lipa,86,26.89,41.52,76.20,98
15,,Imagine Dragons,86,26.57,50.23,58.95,96
16,,Bruno Mars,87,22.46,50.91,64.60,92
17,,Travis Scott,93,25.93,24.11,66.38,91
18,,J Balvin,84,31.30,37.90,51.41,90
19,,Kanye West,89,31.71,21.26,58.20,89
20,,David Guetta,86,24.35,26.63,70.44,82
21,,Maroon 5,83,23.44,41.49,57.18,81
22,,Ozuna,85,25.19,38.06,45.65,80
23,,KAROL G,90,17.34,39.41,56.68,77
24,,XXXTENTACION,84,25.59,43.02,35.85,77
25,,Adele,83,17.93,51.29,51.65,73
26,,Juice WRLD,86,27.36,30.63,29.98,73
27,,Daddy Yankee,85,20.21,33.87,53.83,73
28,,Queen,83,19.63,48.33,47.63,73
29,,Lana Del Rey,89,18.35,27.75,56.69,72
30,,Beyoncé,85,19.70,35.91,51.11,72
31,,Shawn Mendes,81,21.83,42.47,44.32,71
32,,Kendrick Lamar,87,22.35,25.34,47.28,71
33,,Harry Styles,85,18.96,29.30,59.28,70
34,,Calvin Harris,84,21.23,23.63,64.96,70
35,,Nicki Minaj,86,18.14,29.51,62.07,70
36,,Selena Gomez,83,16.80,45.09,55.62,69
37,,Shakira,85,16.58,31.33,63.97,68
38,,Sam Smith,83,21.24,23.12,56.02,66
39,,Doja Cat,87,15.05,26.24,65.33,64
40,,Lady Gaga,83,18.57,27.91,52.71,64
41,,Khalid,82,23.91,16.14,51.82,62
42,,One Direction,82,18.75,33.15,38.45,61
43,,Arijit Singh,88,9.29,88.98,39.05,61
44,,Marshmello,81,15.58,35.32,57.25,61
45,,Anuel AA,86,17.46,32.27,32.92,60
46,,Future,88,18.92,14.82,51.85,60
47,,Olivia Rodrigo,88,12.32,27.89,60.08,59
48,,Chris Brown,85,18.38,20.51,47.33,59
49,,Miley Cyrus,85,14.42,22.10,71.38,59
50,,Rauw Alejandro,87,17.26,18.43,46.27,58
51,,Maluma,83,15.61,34.53,38.95,57
52,,J. Cole,84,18.31,21.35,40.95,57
53,,Katy Perry,82,15.40,29.29,51.37,57
54,,Arctic Monkeys,85,15.67,21.48,46.13,55
55,,Sia,81,15.94,26.94,45.75,55
56,,SZA,87,13.97,14.63,61.78,53
57,,Linkin Park,83,16.14,24.43,34.31,52
58,,21 Savage,89,13.43,14.79,56.00,52
59,,The Beatles,82,16.61,26.15,30.04,51
60,,Halsey,80,16.22,20.91,42.57,50
61,,Lil Uzi Vert,85,16.02,15.85,34.63,48
62,,Camila Cabello,78,13.89,31.53,38.94,48
63,,The Chainsmokers,78,17.23,20.44,37.23,47
64,,BLACKPINK,83,10.74,45.35,24.46,45
65,,Avicii,79,14.41,23.23,36.15,45
66,,Michael Jackson,80,11.96,28.72,36.66,45
67,,OneRepublic,81,12.89,16.25,47.15,44
68,,Myke Towers,87,11.84,12.48,46.93,43
69,,Twenty One Pilots,78,14.62,24.05,25.78,42
70,,Farruko,82,13.46,15.53,37.75,42
71,,Alan Walker,79,10.44,39.37,30.89,42
72,,Lil Baby,85,12.62,15.26,30.49,41
73,,Red Hot Chili Peppers,80,13.29,20.18,30.13,41
74,,Charlie Puth,81,10.21,21.28,41.45,40
75,,Demi Lovato,77,11.70,26.05,31.46,39
76,,Metro Boomin,87,13.35,5.56,51.94,39
77,,Metallica,80,11.12,25.91,25.05,38
78,,Elton John,81,10.99,12.21,48.26,38
79,,AC/DC,79,10.15,27.33,28.53,37
80,,Cardi B,79,10.27,22.13,32.51,37
81,,Lil Wayne,84,10.46,14.05,35.31,37
82,,"Tyler, The Creator",83,11.13,12.59,29.44,35
83,,Feid,89,10.42,7.31,39.21,35
84,,Pitbull,81,11.49,10.26,37.06,35
85,,Nicky Jam,80,10.08,19.24,27.76,35
86,,Sebastian Yatra,79,9.40,22.38,28.00,34
87,,P!nk,79,10.09,15.85,33.98,34
88,,Ellie Goulding,78,10.82,12.31,40.76,34
89,,Guns N' Roses,78,8.19,29.95,28.81,34
90,,James Arthur,80,10.09,13.37,38.14,34
91,,Romeo Santos,80,9.72,19.97,23.63,33
92,,Peso Pluma,92,7.51,7.13,50.43,33
93,,Bizarrap,83,8.10,12.44,41.85,33
94,,The Neighbourhood,81,9.82,13.59,32.29,33
95,,Jason Derulo,77,11.88,11.93,32.99,33
96,,Tiësto,82,10.40,7.11,42.87,32
97,,Frank Ocean,82,10.26,11.77,27.87,32
98,,Young Thug,84,10.32,8.88,30.99,32
99,,Pop Smoke,80,11.30,12.93,24.10,32
100,,Nirvana,79,9.18,18.23,27.82,32
101,,Manuel Turizo,83,7.80,12.97,35.46,31
102,,Morgan Wallen,87,10.80,7.07,25.69,31
103,,Kygo,77,13.82,8.44,26.95,31
104,,A$AP Rocky,81,9.11,12.79,29.62,31
105,,Wiz Khalifa,80,10.04,11.22,30.68,31
106,,Lewis Capaldi,79,9.17,11.66,31.98,30
107,,Marília Mendonça,79,8.92,32.92,12.61,30
108,,Mac Miller,81,11.50,9.49,24.00,30
109,,Green Day,78,8.86,14.33,30.18,30
110,,Lil Nas X,76,10.54,12.49,29.06,30
111,,DaBaby,78,10.73,11.16,29.21,30
112,,ZAYN,75,8.91,22.72,24.24,30
113,,50 Cent,81,8.14,12.39,31.28,29
114,,DJ Snake,76,11.01,8.72,32.77,29
115,,JAY-Z,82,8.71,8.62,36.09,29
116,,Anne-Marie,79,8.32,11.17,40.22,29
117,,Justin Timberlake,78,8.38,13.27,33.47,29
118,,Playboi Carti,84,7.85,8.77,37.60,29
119,,Britney Spears,78,8.35,12.80,33.39,29
120,,Fall Out Boy,78,9.91,10.27,25.85,28
121,,Fleetwood Mac,80,8.53,10.39,33.27,28
122,,Bebe Rexha,79,8.46,8.48,43.81,28
123,,Sech,79,10.39,11.89,20.98,28
124,,Martin Garrix,74,10.30,15.88,22.58,28
125,,Luis Miguel,82,9.55,13.55,17.08,28
126,,YoungBoy Never Broke Again,81,10.08,11.75,17.38,28
127,,Becky G,77,7.79,13.84,32.54,27
128,,2Pac,78,8.04,16.14,23.14,27
129,,Junior H,87,6.97,10.03,26.76,27
130,,Panic! At The Disco,75,10.22,12.00,22.70,27
131,,Gunna,84,8.15,5.86,37.09,27
132,,Black Eyed Peas,78,8.80,7.70,39.64,27
133,,Pink Floyd,77,8.42,19.60,18.87,27
134,,Luke Combs,83,8.80,9.22,23.60,27
135,,Lil Peep,81,11.02,10.65,14.83,27
136,,Kodak Black,80,8.50,9.71,28.22,27
137,,A.R. Rahman,78,4.15,38.26,31.85,26
138,,The Rolling Stones,77,8.03,13.29,26.14,26
139,,Trippie Redd,80,9.27,9.01,22.67,26
140,,Don Omar,81,7.20,10.12,33.05,26
141,,Camilo,77,7.18,18.11,21.46,25
142,,Polo G,80,8.12,10.07,24.31,25
143,,Bob Marley & The Wailers,78,8.74,11.85,19.49,25
144,,Duki,83,7.51,9.42,24.18,25
145,,Snoop Dogg,81,6.52,10.17,30.22,25
146,,Joji,79,8.65,8.90,23.18,25
147,,ABBA,78,6.79,10.91,27.63,24
148,,Flo Rida,77,7.78,8.95,27.70,24
