id,track_name,artist,duration_ms,popularity,release_date,year
1,Sparks,Coldplay,227093,87,2000-07-10,2000
2,Yellow,Coldplay,266773,91,2000-07-10,2000
3,The Real Slim Shady,Eminem,284200,88,2000-05-23,2000
4,Kryptonite,3 Doors Down,233933,82,2000-01-01,2000
5,Ms. Jackson,Outkast,270506,83,2000-10-31,2000
6,In the End,Linkin Park,216880,88,2000-10-24,2000
7,Change (In the House of Flies),Deftones,299533,80,2000-05-16,2000
8,It's A Great Day To Be Alive,Travis Tritt,241533,76,2000-10-01,2000
9,One Step Closer,Linkin Park,157333,81,2000-10-24,2000
10,Stan,"Eminem, Dido",404106,83,2000-05-23,2000
11,Ride Wit Me,"Nelly, City Spud",291781,78,2000-06-27,2000
12,It Wasn't Me,"Shaggy, Rik Rok",227600,81,2000-08-08,2000
13,Down with the Sickness,Disturbed,279213,78,2000-03-07,2000
14,Bye Bye Bye,*NSYNC,200400,74,2000-03-21,2000
15,"So Fresh, So Clean",Outkast,240026,75,2000-10-31,2000
16,Oops!...I Did It Again,Britney Spears,211160,81,2000-05-16,2000
17,Crawling,Linkin Park,208960,79,2000-10-24,2000
18,Rollin' (Air Raid Vehicle),Limp Bizkit,213760,79,2000-10-17,2000
19,Me and the Birds,Duster,95226,74,2000-08-22,2000
20,Country Grammar (Hot Shit),Nelly,287000,72,2000-06-27,2000
21,Papercut,Linkin Park,184866,78,2000-10-24,2000
22,Angel,"Shaggy, Rayvon",235133,78,2000-08-08,2000
23,Hanging By A Moment,Lifehouse,216066,69,2000-01-01,2000
24,Red Red Wine,UB40,183733,75,2000-01-01,2000
25,The Way I Am,Eminem,290426,75,2000-05-23,2000
26,Dancing in the Moonlight,Toploader,232693,80,2000-01-01,2000
27,Follow Me,Uncle Kracker,218439,73,2000-06-13,2000
28,It's My Life,Bon Jovi,224493,82,2000-01-01,2000
29,It's Gonna Be Me,*NSYNC,192426,71,2000-03-21,2000
30,My Way,Limp Bizkit,272973,76,2000-10-17,2000
31,El Amor Soñado,Los Tucanes De Tijuana,164466,75,2000-11-01,2000
32,Better Off Alone,Alice Deejay,214883,78,2000-10-01,2000
33,Didn't Cha Know,Erykah Badu,238733,71,2000-10-31,2000
34,Absolutely (Story of a Girl) - Radio Mix,Nine Days,189333,69,2000-05-16,2000
35,Beautiful Day,U2,246400,67,2000-01-01,2000
36,Take A Look Around,Limp Bizkit,321040,77,2000-10-17,2000
37,A Place for My Head,Linkin Park,184640,74,2000-10-24,2000
38,Digital Bath,Deftones,255373,70,2000-05-16,2000
