Artist,TrackNames
$uicideboy$,"['Paris', 'My Flaws Burn Through My Skin Like Demonic Flames from Hell', 'Kill Yourself (Part III)', 'Antarctica', 'For the Last Time', '...And to Those I Love, Thanks for Sticking Around']"
"$uicideboy$, Pouya","[""Runnin' Thru the 7th with My Woadies""]"
*NSYNC,"['Bye Bye Bye', ""It's Gonna Be Me""]"
21 Savage,"['a lot', 'ball w/o you']"
"21 Savage, Metro Boomin","['Runnin', 'Glock In My Lap']"
"21 Savage, Metro Boomin, Young Thug",['Rich Nigga Shit (feat. Young Thug)']
3 Doors Down,"['Kryptonite', ""When I'm Gone"", 'Here Without You']"
311,"['Amber', 'Amber']"
5 Seconds of Summer,['She Looks So Perfect']
50 Cent,"['P.I.M.P.', 'In Da Club', 'Many Men (Wish Death)', 'Just A Lil Bit']"
"50 Cent, Nate Dogg",['21 Questions']
"50 Cent, Olivia",['Candy Shop']
80purppp,['Hex']
A Boogie Wit da Hoodie,"['Still Think About You', 'My Shit', 'Secrets']"
"A Boogie Wit da Hoodie, Kodak Black",['Drowning (feat. Kodak Black)']
A Day To Remember,['The Downfall Of Us All']
A Perfect Circle,['Judith']
A$AP Rocky,['Sundress']
"A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","[""F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)""]"
AFI,['Miss Murder']
Aaliyah,"['Rock The Boat', 'Are You That Somebody']"
Aaron May,['Let Go']
Aaron Y Su Grupo Ilusion,['Todo Me Gusta De Ti']
Adele,"['Make You Feel My Love', 'Chasing Pavements', 'Rolling in the Deep', 'Set Fire to the Rain', 'Someone Like You', 'Love In The Dark']"
Afroman,['Crazy Rap (Colt 45 & 2 Zig Zags)']
"Akon, Eminem",['Smack That']
Alex G,"['Mary', 'Sarah']"
"Alex G, Emily Yacina",['Treehouse']
Alice Deejay,['Better Off Alone']
Alicia Keys,"[""Fallin'"", ""If I Ain't Got You""]"
Alien Ant Farm,['Smooth Criminal']
All Time Low,"['Dear Maria, Count Me In']"
American Authors,['Best Day Of My Life']
Aphex Twin,['QKThr']
Arctic Monkeys,"['Fluorescent Adolescent', '505', 'Do I Wanna Know?', 'I Wanna Be Yours', 'R U Mine?', ""Why'd You Only Call Me When You're High?""]"
Ariana Grande,['One Last Time']
Ashanti,"['Foolish', 'Rock Wit U (Awww Baby)']"
Audioslave,"['Like a Stone', 'Show Me How to Live']"
Avenged Sevenfold,['Hail to the King']
Aventura,['Dile al Amor']
"Aventura, Don Omar",['Ella Y Yo - Featuring Don Omar']
"Aventura, Judy Santos",['Obsesion']
Avicii,"['Wake Me Up', 'The Nights']"
Avril Lavigne,"['Complicated', 'Sk8er Boi', 'Girlfriend']"
"B.o.B, Bruno Mars","[""Nothin' on You (feat. Bruno Mars)""]"
"Baby Bash, Frankie J",['Suga Suga']
Baby Keem,"['ORANGE SODA', 'HONEST', '16']"
"Baby Keem, Kendrick Lamar",['family ties (with Kendrick Lamar)']
Bad Bunny,['Tití Me Preguntó']
"Bad Bunny, Chencho Corleone",['Me Porto Bonito']
Bakar,['Hell N Back']
Basement,['Covet']
Bastille,['Pompeii']
Beach House,['Space Song']
Beyoncé,"['Love On Top', 'CUFF IT']"
"Beyoncé, JAY-Z",['Crazy In Love (feat. Jay-Z)']
Big & Rich,['Save a Horse (Ride a Cowboy)']
"Big Sean, E-40","[""I Don't Fuck With You""]"
"Big Sean, Lil Wayne, Jhené Aiko",['Beware']
Big Tymers,['Still Fly']
Billie Eilish,"['everything i wanted', ""when the party's over"", 'Happier Than Ever', 'TV']"
"Billie Eilish, Khalid",['lovely (with Khalid)']
Billy Currington,['Good Directions']
Black Eyed Peas,"['Where Is The Love?', 'Pump It', 'I Gotta Feeling', 'Meet Me Halfway']"
Blake Shelton,"[""Ol' Red""]"
Blondie,['Call Me']
Bon Iver,"['Skinny Love', 'Beach Baby']"
"Bon Iver, St. Vincent",['Rosyln']
Bon Jovi,"[""It's My Life""]"
Bowling For Soup,['1985']
Breaking Benjamin,"['The Diary of Jane - Single Version', 'I Will Not Bow']"
Brent Faiyaz,"['Poison', 'Trust', 'Been Away', 'Rehab (Winter In Paris)', 'Clouded', 'ALL MINE']"
Bring Me The Horizon,['Can You Feel My Heart']
Britney Spears,"['Oops!...I Did It Again', 'Toxic', 'Gimme More', 'Circus', 'Womanizer']"
Brooks & Dunn,"['Red Dirt Road', 'My Maria', 'Neon Moon', ""Boot Scootin' Boogie""]"
Bruno Mars,"['Grenade', 'Just the Way You Are', 'Marry You', 'Talking to the Moon', 'Runaway Baby', 'It Will Rain', 'Treasure', 'Locked out of Heaven', 'When I Was Your Man', ""That's What I Like""]"
Bryson Tiller,"['Right My Wrongs', ""Let Em' Know"", ""Don't"", 'Exchange']"
BØRNS,['Electric Love']
Cage The Elephant,"[""Ain't No Rest for the Wicked"", 'Come a Little Closer', 'Cigarette Daydreams']"
Calvin Harris,"['Feel So Close - Radio Edit', 'Summer']"
"Calvin Harris, Rihanna",['This Is What You Came For']
Capital Cities,['Safe And Sound']
"Carin Leon, Grupo Frontera",['Que Vuelvas']
Carly Rae Jepsen,['Call Me Maybe']
Carrie Underwood,['Before He Cheats']
Cassie,['Me & U']
Chase Atlantic,['Friends']
